name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Cherwell Edge Golf Club,https://www.cherwelledgegolfclub.co.uk/,52.0841295,-1.2783051,unknown,unknown,,low,homepage loaded (https://www.cherwelledgegolfclub.co.uk/) but no platform signal found on it or 6 booking-ish link(s)
Whittlebury Hall Golf Course,,52.0785534,-0.995465,no_site,unknown,,low,no official website resolved (not in county union directory)
Silverstone Golf Club,,52.0627688,-1.041862,no_site,unknown,,low,no official website resolved (not in county union directory)
Overstone Park Golf Club,,52.2778864,-0.817221,no_site,unknown,,low,no official website resolved (not in county union directory)
Fynn Valley Golf Club,,52.0994518,1.1841526,no_site,unknown,,low,no official website resolved (not in county union directory)
Royal Worlington and Newmarket Golf Club,,52.3318215,0.4958,no_site,unknown,,low,no official website resolved (not in county union directory)
St Clements Golf Club,,52.0457076,1.1943959,no_site,unknown,,low,no official website resolved (not in county union directory)
Rushmere Golf Course,,52.0573123,1.209192,no_site,unknown,,low,no official website resolved (not in county union directory)
Diss Golf Club,,52.3648662,1.1352286,no_site,unknown,,low,no official website resolved (not in county union directory)
Bramford Golf Centre / Suffolk Golf & Water Park,https://www.bramfordgc.co.uk/,52.0908756,1.0960602,unknown,unknown,,low,homepage loaded (https://www.bramfordgc.co.uk/) but no platform signal found on it or 1 booking-ish link(s)
Ufford Park Golf Course,https://www.uffordpark.co.uk/,52.1155947,1.345616,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.uffordpark.co.uk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""The certificate's CN name does not match the passed value."")))"
Felixstowe Ferry Golf Club - Martello Course,,51.9829493,1.384805,no_site,unknown,,low,no official website resolved (not in county union directory)
Center Parcs Elveden Forest,https://www.centerparcs.co.uk/villages/elveden,52.3941818,0.6576028,unknown,login_required,,high,booking link requires login: https://www.centerparcs.co.uk/my-account/sign-in.html/myBooking
Suffolk Golf Course,https://www.suffolkgolfcourse.org,36.7266245,-76.6138808,unknown,unknown,,low,homepage loaded (https://www.suffolkgolfcourse.org/) but no platform signal found on it or 3 booking-ish link(s)
The Suffolk Golf & Spa Hotel,https://www.bespokehotels.com/suffolkgolfspahotel/,52.272546,0.7014782,dead_link,unknown,,low,"directory URL returned HTTP 404 — stale link, needs a fresh website lookup"
Southwold Golf Club,https://www.southwoldgolfclub.co.uk/,52.3265622,1.6706795,unknown,unknown,,low,homepage loaded (https://www.southwoldgolfclub.co.uk/) but no platform signal found on it or 3 booking-ish link(s)
Flempton Golf Club,https://www.flemptongolfclub.co.uk/,52.3005533,0.6512334,unknown,unknown,,low,homepage loaded (https://www.flemptongolfclub.co.uk/) but no platform signal found on it or 2 booking-ish link(s)
Halesworth Golf Club - Championship Course,https://www.halesworthgolf.co.uk/,52.3311539,1.5242134,unknown,unknown,,low,homepage loaded (https://www.halesworthgolf.co.uk/) but no platform signal found on it or 0 booking-ish link(s)
Haverhill Golf Club,https://www.club-noticeboard.co.uk/haverhill/,52.073723,0.4685108,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.club-noticeboard.co.uk', port=443): Max retries exceeded with url: /haverhill/ (Caused by SSLError(SSLCertVerificationError(""The certificate's CN name does not match the passed value."")))"
Stoke by Nayland Resort - Gainsborough Course,https://www.stokebynayland.com/content/golf,51.996773,0.8619587,dead_link,unknown,,low,"directory URL returned HTTP 404 — stale link, needs a fresh website lookup"
Newton Green Golf Course,https://www.newtongreengolfclub.co.uk/,52.0323313,0.7882695,unknown,unknown,,low,homepage loaded (https://www.newtongreengolfclub.co.uk/) but no platform signal found on it or 4 booking-ish link(s)
Old Joe's Golfing Range,https://www.oldjoesgolfingrange.co.uk/,52.0291152,0.7768375,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.oldjoesgolfingrange.co.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.oldjoesgolfingrange.co.uk', port=443): Failed to resolve 'www.oldjoesgolfingrange.co.uk' ([Errno 11001] getaddrinfo failed)""))"
Aldeburgh Golf Club - Championship Course,,52.1669392,1.5798292,no_site,unknown,,low,no official website resolved (not in county union directory)
Stowmarket Golf & Archery Centre,https://www.stowmarketgolfcentre.co.uk/,52.1925795,0.9387964,unknown,unknown,,low,homepage loaded (https://www.stowmarketgolfcentre.co.uk/) but no platform signal found on it or 2 booking-ish link(s)
